,Date,Country,City,Specie,count,min,max,median,variance
186,22/07/2020,VN,Ho Chi Minh City,temperature,24,25.5,34.0,30.0,78.89
187,28/08/2020,VN,Ho Chi Minh City,temperature,23,27.0,34.5,29.5,67.55
188,11/10/2020,VN,Ho Chi Minh City,temperature,24,25.0,28.5,26.0,11.72
189,26/10/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.0,28.0,52.81
190,05/03/2020,VN,Ho Chi Minh City,temperature,24,26.0,34.0,28.0,84.06
191,22/03/2020,VN,Ho Chi Minh City,temperature,24,26.0,34.0,28.0,84.13
192,08/06/2020,VN,Ho Chi Minh City,temperature,24,26.0,35.0,30.5,86.94
193,30/11/2020,VN,Ho Chi Minh City,temperature,24,24.0,31.5,26.0,72.13
194,21/12/2020,VN,Ho Chi Minh City,temperature,24,22.0,31.0,26.0,95.0
195,30/12/2020,VN,Ho Chi Minh City,temperature,24,25.0,30.0,27.0,21.09
196,22/09/2020,VN,Ho Chi Minh City,temperature,24,25.0,33.5,28.0,72.81
197,11/09/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.5,27.0,58.8
198,16/09/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.5,28.0,66.29
199,06/11/2020,VN,Ho Chi Minh City,temperature,24,26.0,30.0,27.0,22.32
200,21/03/2020,VN,Ho Chi Minh City,temperature,24,26.0,35.0,28.0,99.28
201,24/05/2020,VN,Ho Chi Minh City,temperature,24,26.5,35.0,29.0,87.06
202,01/08/2020,VN,Ho Chi Minh City,temperature,24,26.0,31.0,26.5,23.91
203,01/07/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.0,27.5,50.42
204,03/07/2020,VN,Ho Chi Minh City,temperature,24,25.0,30.0,27.0,30.39
205,04/08/2020,VN,Ho Chi Minh City,temperature,24,26.0,32.5,27.5,50.21
206,15/08/2020,VN,Ho Chi Minh City,temperature,24,24.0,32.0,27.0,77.1
207,07/10/2020,VN,Ho Chi Minh City,temperature,24,25.0,27.5,26.0,6.36
208,01/03/2020,VN,Ho Chi Minh City,temperature,24,25.5,35.0,28.0,95.0
209,24/04/2020,VN,Ho Chi Minh City,temperature,24,28.0,37.0,30.0,54.35
210,03/06/2020,VN,Ho Chi Minh City,temperature,24,25.5,34.5,27.0,93.84
211,04/11/2020,VN,Ho Chi Minh City,temperature,24,26.0,31.5,27.0,30.32
212,12/10/2020,VN,Ho Chi Minh City,temperature,24,25.0,31.0,26.0,50.65
213,13/10/2020,VN,Ho Chi Minh City,temperature,24,25.0,30.0,26.0,36.3
214,16/10/2020,VN,Ho Chi Minh City,temperature,24,25.0,28.0,25.0,9.56
215,10/07/2020,VN,Ho Chi Minh City,temperature,24,27.0,33.5,28.0,44.78
216,18/07/2020,VN,Ho Chi Minh City,temperature,24,26.0,32.0,27.5,31.5
217,25/09/2020,VN,Ho Chi Minh City,temperature,24,24.0,33.0,26.5,76.07
218,30/09/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.5,27.5,62.6
